year,govt debt,revenue expenditure,capital expenditure,FDI,total expenditure,agriculture expenditure,rural development expenditure,energy expenditure,industry and minerals expenditure,transport expenditure,internal debt,exchange rate,govt debt in % of GDP,FDI in % of GDP,GDP
2014,1017.978867,208.409149,27.94161102,34.59145564,266.914,1.755,0.482,27.518,7.302,28.638,760.194,62.33,49.90092487,1.69565959,2040.0
2015,1049.259086,201.3303221,33.12673475,43.93441949,284.387,3.08,0.417,32.694,7.84,36.505,842.439,62.97,49.96471839,2.092115214,2100.0
2016,1090.813003,226.7110098,38.16682312,44.36563839,297.2,,,,,,865.314,66.46,47.63375559,1.937364122,2290.0
2017,1260.965649,230.9567302,32.34665028,39.94386957,315.972,,,,,,947.859,67.79,47.58360938,1.507315833,2650.0
2018,1256.107464,244.9840127,37.55357579,42.07180063,330.306,,,,,,1022.229,70.09,46.52249866,1.558214838,2700.0
2019,1326.28,286.309866,40.89232643,50.68906806,381.635,,,,,,1155.329,70.39,46.7,1.78482634,2840.0
2020,1471.17,375.0327171,51.85076624,64.32392949,459.523,,,,,,1315.386,76.38,55.1,2.409135936,2670.0
2021,1723.365,385.8861965,71.47365883,44.72292113,508.757,,,,,,1555.804,74.57,54.71,1.419775274,3150.0
2022,1896.39,415.0916837,87.39637586,49.98928551,514.718,,,,,,1628.429,81.35,55.45,1.461675015,3420.0
2023,2133.827,420.2227022,120.1057115,55.3076,549.56,,,,,,1814.806,81.94,57.1,1.48,3737.0
